appId,name,yesterday_date,rounds
MGKTdgs2Jf5dXHtEupvHEBdjTLxV7RJT,游戏工厂,2026/01/03,0
yEReAZx0FCwmbro2mSIgrEnGAzrlot4g,游戏集市,2026/01/03,0
CCAQElsFN5hgow5FYfI30VZ0Hwzq9V12,游戏收藏家,2026/01/03,7
PLHlBUoS9YGvjynpriJsvickln4JUE0I,游戏导航员,2026/01/03,16
5r348jumd1WAht4yt8WfkCfBodwQXGZB,游戏探索者,2026/01/03,13
yPJkP2NTHwmCv9Wbj46pqMYOIThYKN1g,游戏联盟,2026/01/03,0
YpqMaZEKBrKKB61Q3sbyhTWIT1xLt0uK,游戏档案馆,2026/01/03,0
2YaHyY362Hby330HFOwkHpG9W5r1eWtr,游戏雷达,2026/01/03,0
trgFruiJhKued6E9UMIuIeFunVYKH4Eq,游戏百宝箱,2026/01/03,0
uRUhgJEjmzQotzoYXTVSYLnDv8KFjEZj,游戏资源集,2026/01/03,3
AZF8O1Wu4Sbpz5HLKR0TGRtUSsSWrtFP,游戏世界,2026/01/03,6
Q2HwMDFjpLYi6G3YkDQV0MAsEbTvKZiO,游戏资源库,2026/01/03,0
HWRV0e1xXOSE31JtlljIWE4ZfY2KrKXj,游戏云空间,2026/01/03,5
fs4If5yOUl17ujIHm5kAqUU3FUltbWyY,游戏宝库,2026/01/03,2
EOnpLTG1hh5gapqvIuhD8X8YOHCkOLyg,游戏基地,2026/01/03,0
y5peCo3rqp683nNJO9NBdMXGwK4suUUi,游戏分享站,2026/01/03,3
pylEzt5HZ4xJwyGeOdWO1FYc7ZoBKlwh,游戏乐园,2026/01/03,0
FAgTrHEghpR72dsBJpa9jssCBygNr9gR,游戏智囊团,2026/01/03,8
n7OUCU8wf120n1uX24LD0KpmXRHSaqkx,游戏宝藏猎人,2026/01/03,11
Xewd411Hn2QaJNLNoy7S6btWAJ36CwYU,游戏情报站,2026/01/03,4
总计,所有 Agent,2026/01/03,78
